Date,SOS008L02P_delivery_to_distributor,SOS005L04P_delivery_to_distributor,SOS003L04P_delivery_to_distributor,SOS002L09P_delivery_to_distributor,SOS001L12P_delivery_to_distributor,SOS500M24P_delivery_to_distributor,SOS250M48P_delivery_to_distributor,SOP001L12P_delivery_to_distributor,POV005L04P_delivery_to_distributor,POV002L09P_delivery_to_distributor,POV001L24P_delivery_to_distributor,POV500M24P_delivery_to_distributor,POP001L12P_delivery_to_distributor,POP015K_delivery_to_distributor,SO0005L04P_delivery_to_distributor,SO0002L09P_delivery_to_distributor,SO0001L12P_delivery_to_distributor,SO0500M24P_delivery_to_distributor,POP005L04P_delivery_to_distributor,POP002L09P_delivery_to_distributor,POP001L12P.1_delivery_to_distributor,POP500M24P_delivery_to_distributor,POPF01L12P_delivery_to_distributor,AT5X5K_delivery_to_distributor,ATN02K12P_delivery_to_distributor,ATN01K24P_delivery_to_distributor,MAR02K12P_delivery_to_distributor,MAR01K24P_delivery_to_distributor,ATWWP002K12P_delivery_to_distributor,ATWWP001K24P_delivery_to_distributor,MASR025K_delivery_to_distributor,MAHS025K_delivery_to_distributor,SE500G24P_delivery_to_distributor,SE200G24P_delivery_to_distributor,ATPPCH5X5K_delivery_to_distributor,ATPA1K24P_delivery_to_distributor,MAPA1K24P_delivery_to_distributor,MAP1K25P_delivery_to_distributor,MAC1K25P_delivery_to_distributor,EEA500G12P_delivery_to_distributor,EEA200G24P_delivery_to_distributor,SOS008L02P_delivery_to_distributor,SOS005L04P_delivery_to_distributor,SOS003L04P_delivery_to_distributor,SOS002L09P_delivery_to_distributor,SOS001L12P_delivery_to_distributor,SOS500M24P_delivery_to_distributor,SOS250M48P_delivery_to_distributor,SOP001L12P_delivery_to_distributor,POV005L04P_delivery_to_distributor,POV002L09P_delivery_to_distributor,POV001L24P_delivery_to_distributor,POV500M24P_delivery_to_distributor,POP001L12P_delivery_to_distributor,POP015K_delivery_to_distributor,SO0005L04P_delivery_to_distributor,SO0002L09P_delivery_to_distributor,SO0001L12P_delivery_to_distributor,SO0500M24P_delivery_to_distributor,POP005L04P_delivery_to_distributor,POP002L09P_delivery_to_distributor,POP001L12P.1_delivery_to_distributor,POP500M24P_delivery_to_distributor,POPF01L12P_delivery_to_distributor,AT5X5K_delivery_to_distributor,ATN02K12P_delivery_to_distributor,ATN01K24P_delivery_to_distributor,MAR02K12P_delivery_to_distributor,MAR01K24P_delivery_to_distributor,ATWWP002K12P_delivery_to_distributor,ATWWP001K24P_delivery_to_distributor,MASR025K_delivery_to_distributor,MAHS025K_delivery_to_distributor,SE500G24P_delivery_to_distributor,SE200G24P_delivery_to_distributor,ATPPCH5X5K_delivery_to_distributor,ATPA1K24P_delivery_to_distributor,MAPA1K24P_delivery_to_distributor,MAP1K25P_delivery_to_distributor,MAC1K25P_delivery_to_distributor,EEA500G12P_delivery_to_distributor,EEA200G24P_delivery_to_distributor,SOS008L02P_production,SOS005L04P_production,SOS003L04P_production,SOS002L09P_production,SOS001L12P_production,SOS500M24P_production,SOS250M48P_production,SOP001L12P_production,POV005L04P_production,POV002L09P_production,POV001L24P_production,POV500M24P_production,POP001L12P_production,POP015K_production,SO0005L04P_production,SO0002L09P_production,SO0001L12P_production,SO0500M24P_production,POP005L04P_production,POP002L09P_production,POP001L12P.1_production,POP500M24P_production,POPF01L12P_production,AT5X5K_production,ATN02K12P_production,ATN01K24P_production,MAR02K12P_production,MAR01K24P_production,ATWWP002K12P_production,ATWWP001K24P_production,MASR025K_production,MAHS025K_production,SE500G24P_production,SE200G24P_production,ATPPCH5X5K_production,ATPA1K24P_production,MAPA1K24P_production,MAP1K25P_production,MAC1K25P_production,EEA500G12P_production,EEA200G24P_production,SOS008L02P_production,SOS005L04P_production,SOS003L04P_production,SOS002L09P_production,SOS001L12P_production,SOS500M24P_production,SOS250M48P_production,SOP001L12P_production,POV005L04P_production,POV002L09P_production,POV001L24P_production,POV500M24P_production,POP001L12P_production,POP015K_production,SO0005L04P_production,SO0002L09P_production,SO0001L12P_production,SO0500M24P_production,POP005L04P_production,POP002L09P_production,POP001L12P.1_production,POP500M24P_production,POPF01L12P_production,AT5X5K_production,ATN02K12P_production,ATN01K24P_production,MAR02K12P_production,MAR01K24P_production,ATWWP002K12P_production,ATWWP001K24P_production,MASR025K_production,MAHS025K_production,SE500G24P_production,SE200G24P_production,ATPPCH5X5K_production,ATPA1K24P_production,MAPA1K24P_production,MAP1K25P_production,MAC1K25P_production,EEA500G12P_production,EEA200G24P_production
2023-01-01 00:00:00,1355.0,12594.0,1949.000000000004,14556.00000000001,21393.99999999999,8552.000000000002,1159.0,100.0,348.0000000000001,572.9999999999999,1829.0,1349.0,1250.0,0,0.0,0.0,0.0,0.0,83.0,228.0,702.9999999999999,428.9999999999999,779.9999999999999,2642.0,1819.0,5184.0,464.0,1607.0,100.0,42.0,96,25,1507.0,225.0,0,0,0,0,0,0,0,455.0,2241.0,342.0000000000001,1698.0,3816.0,1554.999999999999,69.0,23.0,72.00000000000001,84.00000000000001,634.0000000000001,414.0,275.0,0,0.0,0.0,0.0,0.0,10.00098901098901,89.0,253.0,82.0,10.0,707.0,497.08,470.0,99.0,137.0,0.0,0.0,120,0,160.0,0.0,0,0,0,0,0,0,0.0,220.0,2598.0,287.0,2080.0,2748.0,1670.634,0.0,10.0,100.0,200.0,390.0,245.0,75.0,0,0,0,0,0,0.0,0.0,125.0,0.0,152.0,970,100.0,2600.0,0,480.0,0.0,0,0,43,1341.0,200,0,0,0,0,0,0,0,1008,3008,0,2034,4016,1003,0,0,0,0,201,205,506,0,0,0,0,0,0,0,0,0,200,1500,200,3500,100,100,0,0,0,48,1000,0,0,0,0,0,0,0,0
2023-01-02 00:00:00,338.0,11677.0,1842.000000000002,13085.00000000001,17058.99999999999,7206.999999999998,501.9999999999997,160.0,160.0,379.9999999999999,1277.0,558.9999999999999,1125.0,0,0.0,0.0,0.0,0.0,70.0,140.0,461.0,209.0,213.0,1070.0,1281.0,4345.0,310.0,999.0,15.0,37.0,21,0,602.0,109.0,0,0,0,0,0,0,0,326.9999999999999,8285.999999999998,1458.0,9240.000000000004,12683.0,5323.999999999998,66.0,60.0,85.0,345.0000000000001,1045.0,1111.0,690.0,0,0.0,0.0,0.0,0.0,7.000000000000001,100.0,276.0,129.0,297.9999999999999,2317.0,823.0,4269.0,236.0,962.0,0.0,0.0,129,0,980.0,55.22895833333333,0,0,0,0,0,0,0.0,485.0,4982.0,1048.0,4640.0,7560.0,3676.0,0.0,60.0,88.0,318.0,1250.0,1037.0,530.0,0,0,0,0,0,25.0,165.0,483.0,390.0,250.0,1720,705.0,3140.0,100,425.0,0.0,0,70,0,427.0,46,0,0,0,0,0,0,0,1014,6000,0,6000,7000,3500,0,0,154,305,804,603,1308,0,0,0,0,0,150,101,500,401,114,1500,500,4000,100,200,0,0,100,0,300,0,0,0,0,0,25,0,0
2023-01-03 00:00:00,225.9999999999999,8550.999999999998,1135.0,8573.107971014482,12178.0,4234.000000000003,289.9999999999999,277.9999999999999,190.0,275.0,999.0,668.9999999999999,655.0,0,0.0,0.0,0.0,0.0,25.0,55.00000000000001,340.0,201.0,85.0,2355.0,736.0,5891.333,63.0,2004.0,11.0,51.0,35,0,1363.0,100.0,0,0,0,0,12,0,0,523.5,11279.75,1207.0,10290.44504830918,14731.16603260869,5393.500000000002,24.0,42.8320652173913,270.0,342.0,1061.0,442.0000000000001,483.0000000000001,0,0.0,0.0,0.0,0.0,35.0,114.0,417.9999999999999,281.0,75.0,2215.6,1166.25,4086.333,173.583,1007.875,0.0,1.0,26,18,854.5,203.0,0,0,0,0,0,0,0.0,520.0,11175.0,719.0,10801.0,12661.0,6334.5,0.0,0.0,195.0,401.0,938.0,530.0,916.0,0,0,0,0,0,36.0,28.0,201.0,50.0,64.0,2964,1685.0,3875.0,140,1110.0,0.0,0,160,5,435.0,0,0,0,0,0,0,0,0,0,4012,0,5053,10000,8500,0,0,0,1,701,900,0,0,0,0,0,0,0,0,306,300,0,2000,0,0,0,1200,0,0,0,0,300,0,0,0,0,0,0,0,0
2023-01-04 00:00:00,223.4999999999999,10667.25,966.9999999999994,8487.110990338162,10920.08297101449,4046.0,484.9999999999999,58.41702898550724,236.0,438.0000000000001,1250.0,781.0,885.0000000000002,0,0.0,0.0,0.0,0.0,30.0,149.0,309.0,95.0,55.0,909.8,523.0,4698.958,65.0,760.875,50.0,49.0,46,2,756.667,130.0,0,0,0,0,25,0,0,158.0,9897.000000000002,1435.999999999999,10267.88695652174,13842.66603260868,5641.000000000001,0.0,264.9999999999999,155.0,193.0000000000001,1071.0,439.9999999999999,905.0,0,0.0,0.0,0.0,0.0,73.0,109.0,348.0000000000001,282.9999999999999,110.0,2439.0,923.0,5124.333,103.0,1387.0,0.0,15.0,24,17,583.0,66.77104166666666,0,0,0,0,0,0,0.0,305.0,8286.0,1016.0,9004.0,12087.0,5525.0,0.0,297.0,160.0,51.0,800.0,525.0,930.0,0,0,0,0,0,105.0,91.0,254.0,162.0,200.0,2265,945.0,4318.0,108,1014.0,0.0,0,0,0,300.0,1,0,0,0,0,0,0,0,0,10497,2014,15478,10618,7281,0,10,0,707,2000,402,1208,0,0,0,0,0,0,201,800,205,260,2000,1700,3000,0,1400,0,0,5,0,100,0,0,0,0,0,0,0,0
2023-01-05 00:00:00,233.0,14864.0,1783.0,11923.11002415458,16931.0,6357.000000000001,554.9999999999999,63.0,210.0,374.0000000000001,1112.0,851.0,1631.0,0,0.0,0.0,0.0,0.0,49.0,123.0,349.9999999999999,210.0,195.0,3504.0,930.0,3552.0,364.0,1129.0,0.0,18.0,244,37,1398.0,155.0,0,0,0,0,0,0,0,351.4999999999999,8843.249999999998,895.9999999999999,7193.276992753623,9933.416938405791,4089.000000000001,0.0,43.41702898550724,151.0,339.9999999999999,1143.0,904.0,1098.0,0,0.0,0.0,0.0,0.0,5.0,5.000000000000001,213.0,51.00000000000001,24.0,735.8,875.0,3566.958,176.0,361.865,0.0,1.0,62,15,347.667,35.0,0,0,0,0,0,0,0.0,320.0,9787.0,1120.0,8875.0,12414.0,4576.0,0.0,0.0,195.0,470.0,1365.0,860.0,978.0,0,0,0,0,0,30.0,30.0,470.0,275.0,160.0,1100,665.0,3869.0,300,1155.0,0.0,0,30,0,645.0,0,0,0,0,0,0,0,0,0,16000,2022,16000,15156,8000,0,400,500,404,1300,902,1033,0,0,0,0,0,100,102,508,101,54,2000,1000,5000,0,2500,0,0,0,0,1000,0,0,0,0,0,0,0,0
2023-01-06 00:00:00,0.0,0.0,0.0,0.110024154589372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,55.0,5192.999999999999,769.9999999999999,4396.999999999998,5391.999999999998,1960.0,0.0,130.0,175.0,330.0,580.0,430.0000000000001,430.0000000000001,0,0.0,0.0,0.0,0.0,25.0,50.0,204.0,115.0,78.0,1147.0,348.0,2012.0,5.0,265.0,0.0,3.0,0,0,230.0,0.0,0,0,0,0,0,0,0.0,390.0,8954.0,865.0,9742.0,8453.0,3090.0,0.0,140.0,135.0,235.0,955.0,778.0,315.0,0,0,0,0,0,30.0,160.0,140.0,70.0,0.0,1437,250.0,4322.0,0,1380.0,0.0,0,59,0,555.0,0,0,0,0,0,0,0,0,0,5623,0,5015,5006,1603,0,0,0,0,1,311,238,0,0,0,0,0,0,0,1,0,0,1000,800,5,300,300,540,1000,100,0,400,0,0,0,0,0,0,0,0
2023-01-07 00:00:00,15.0,3215.999999999999,305.0,1581.999999999999,1419.0,795.9999999999998,114.0,34.99999999999999,135.0,170.0,530.0,730.0,650.0,0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,5.0,0.0,10.0,608.0,324.0,147.0,81.0,0.0,0.0,477,0,24.0,0.0,0,0,0,0,0,0,0,434.0000000000001,10303.0,1099.0,8929.164009661832,12888.0,4485.0,10.0,44.99999999999999,169.0,179.0,586.0000000000001,480.0000000000001,924.0,0,0.0,0.0,0.0,0.0,43.0,30.99700854700855,197.0,96.0,660.0000000000001,1667.0,755.0,2064.0,247.0,1405.0,0.0,5.0,60,0,863.0,12.22895833333333,0,0,0,0,0,0,0.0,300.0,5247.0,630.0,3564.0,5537.0,2169.0,0.0,40.0,100.0,314.0,230.0,190.0,950.0,0,0,0,0,0,0.0,90.0,530.0,130.0,540.0,1672,690.0,995.0,230,120.0,100.0,123,100,0,100.0,0,0,0,0,0,0,0,0,0,8001,0,3033,9314,2376,0,0,0,398,0,1007,800,0,0,0,0,0,0,151,0,306,0,1500,400,3000,7,300,0,883,45,56,400,295,0,0,0,0,0,0,0
2023-01-08 00:00:00,1520.999999999999,13298.0,1927.0,11858.11002415459,17242.99999999999,7198.999999999996,495.0,72.0,260.0,390.0000000000001,1082.0,547.0,1798.0,0,0.0,0.0,0.0,0.0,35.0,115.0,536.0,320.0,613.9999999999999,3322.0,1782.0,9714.0,137.0,2100.0,28.0,101.0,231,240,1553.0,97.0,0,0,0,0,0,0,0,243.0,6682.999999999999,626.9999999999999,5750.110024154586,6249.000000000002,3124.999999999998,449.9999999999999,49.99999999999999,110.0,150.0,725.0000000000001,548.0000000000001,323.0000000000001,0,0.0,0.0,0.0,0.0,25.0,40.0,243.0,119.0,115.0,1225.0,897.0,1508.0,211.0,562.0,30.0,36.0,79,0,284.0,220.0,0,0,0,0,0,0,0.0,78.0,9138.0,795.0,8324.0,8480.0,1840.0,1055.0,20.0,99.0,438.0,801.0,643.0,250.0,0,0,0,0,0,29.0,108.0,105.0,25.0,50.0,1009,720.0,1460.0,100,925.0,60.0,595,25,34,910.0,365,0,0,0,0,29,0,0,0,10000,2005,0,8386,0,1818,100,401,0,1202,0,1429,0,0,0,0,0,100,0,404,0,0,1500,0,3000,0,350,0,0,0,0,500,102,0,0,0,0,4,0,0
2023-01-09 00:00:00,142.0,10586.5,1902.000000000001,5833.666002415459,15627.99999999999,6309.999999999996,642.9999999999997,84.99999999999999,210.0,360.0000000000001,1390.0,830.0,3524.000000000001,0,0.0,0.0,0.0,0.0,90.0,65.0,511.9999999999999,384.0000000000001,915.0,2254.0,925.0,6696.0,63.0,1099.0,6.0,80.0,34,0,1163.0,54.0,0,0,0,0,0,0,0,162.0,9287.25,1543.0,6022.776026570051,11546.99999999999,3557.602807971015,788.9999999999999,40.0,178.0,245.0000000000001,1013.0,500.0,742.0,0,0.0,0.0,0.0,0.0,0.0,69.0,274.0,90.0,66.99999999999999,3501.94,1527.0,7875.0,162.0,1617.01,111.166,147.0,124,47,541.0,145.0,0,0,0,0,25,0,0.0,115.0,7796.0,1215.0,825.0,11839.0,2367.0,1375.0,27.0,325.0,0.0,547.0,220.0,515.0,0,0,0,0,0,0.0,10.0,85.0,65.0,0.0,3129,1240.0,5775.0,241,1360.0,50.0,846,50,22,245.0,100,0,0,0,0,0,0,0,0,6017,2014,0,10004,0,2974,0,0,0,1403,0,544,0,0,0,0,0,0,0,101,0,0,1500,1000,6000,500,800,0,433,114,0,150,65,0,0,0,0,0,0,0
2023-01-10 00:00:00,292.0,7137.0,1240.999999999999,3948.110990338164,13522.99999999999,3580.000000000002,456.9999999999998,152.0,257.0,95.0,812.0000000000001,590.0,180.0,0,0.0,0.0,0.0,0.0,41.00000000000001,54.0,414.9999999999999,233.0000000000001,46.00000000000001,2414.0,1791.0,7413.0,532.0,1236.0,150.0,95.0,95,30,1002.0,48.0,0,0,0,0,0,0,0,455.9999999999999,8821.249999999998,1228.0,3301.110990338163,12117.0,3643.999999999999,759.9999999999998,13.0,125.0,305.0,437.0,343.9999999999999,1155.0,0,0.0,0.0,0.0,0.0,30.0,108.0,267.0000000000001,125.0,50.0,1559.0,759.0,5823.0,88.0,882.9900000000001,15.0,256.625,172,130,770.0,100.0,0,0,0,0,4,0,0.0,398.0,12280.0,2360.0,0.0,11368.0,4366.0,937.0,20.0,80.0,0.0,1170.0,249.0,1500.0,0,0,0,0,0,25.0,61.0,412.0,213.0,50.0,1200,920.0,5990.0,160,453.0,50.0,15,230,130,537.0,0,0,0,0,0,0,0,0,0,5057,1818,0,11726,3552,0,202,301,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,2000,1200,5050,300,2500,0,0,510,200,635,0,0,0,0,0,0,0,0
